"","club","clubLabel","venue","venueLabel","coordinates","breitengrad","laengengrad"
"1","http://www.wikidata.org/entity/Q18729","Reading F.C.","http://www.wikidata.org/entity/Q31656","Madejski Stadium","-0.982777777 51.422222222","51.422222222","-0.982777777"
"2","http://www.wikidata.org/entity/Q18723","Queens Park Rangers F.C.","http://www.wikidata.org/entity/Q31670","Kiyan Prince Foundation Stadium","-0.232222222 51.509166666","51.509166666","-0.232222222"
"3","http://www.wikidata.org/entity/Q18744","West Bromwich Albion F.C.","http://www.wikidata.org/entity/Q31678","The Hawthorns","-1.963888888 52.509166666","52.509166666","-1.963888888"
"4","http://www.wikidata.org/entity/Q18739","Sunderland A.F.C.","http://www.wikidata.org/entity/Q31969","Stadium of Light","-1.3882 54.9144","54.9144","-1.3882"
"5","http://www.wikidata.org/entity/Q18656","Manchester United F.C.","http://www.wikidata.org/entity/Q83457","Old Trafford","-2.291388888 53.463055555","53.463055555","-2.291388888"
"6","http://www.wikidata.org/entity/Q18721","Norwich City F.C.","http://www.wikidata.org/entity/Q123017","Carrow Road","1.308653 52.622128","52.622128","1.308653"
"7","http://www.wikidata.org/entity/Q18747","West Ham United F.C.","http://www.wikidata.org/entity/Q172190","London Stadium","-0.016388888 51.538611111","51.538611111","-0.016388888"
"8","http://www.wikidata.org/entity/Q18711","Aston Villa F.C.","http://www.wikidata.org/entity/Q175339","Villa Park","-1.884722222 52.509166666","52.509166666","-1.884722222"
"9","http://www.wikidata.org/entity/Q18716","Newcastle United F.C.","http://www.wikidata.org/entity/Q191774","St James’ Park","-1.621666666 54.975555555","54.975555555","-1.621666666"
"10","http://www.wikidata.org/entity/Q19470","Derby County F.C.","http://www.wikidata.org/entity/Q201612","Pride Park Stadium","-1.447222222 52.915","52.915","-1.447222222"
"11","http://www.wikidata.org/entity/Q19597","Rangers F.C.","http://www.wikidata.org/entity/Q208709","Ibrox Stadium","-4.309166666 55.853055555","55.853055555","-4.309166666"
"12","http://www.wikidata.org/entity/Q19593","Celtic F.C.","http://www.wikidata.org/entity/Q216037","Celtic Park","-4.205588888 55.849711111","55.849711111","-4.205588888"
"13","http://www.wikidata.org/entity/Q19451","Bolton Wanderers F.C.","http://www.wikidata.org/entity/Q242772","Reebok Stadium","-2.535555555 53.580555555","53.580555555","-2.535555555"
"14","http://www.wikidata.org/entity/Q19446","Blackburn Rovers F.C.","http://www.wikidata.org/entity/Q245085","Ewood Park","-2.489166666 53.728611111","53.728611111","-2.489166666"
"15","http://www.wikidata.org/entity/Q18708","Fulham F.C.","http://www.wikidata.org/entity/Q318043","Craven Cottage","-0.221666666 51.475","51.475","-0.221666666"
"16","http://www.wikidata.org/entity/Q19500","Wolverhampton Wanderers F.C.","http://www.wikidata.org/entity/Q380823","Molineux Stadium","-2.130277777 52.590277777","52.590277777","-2.130277777"
