"Country","Teams","Champion","Team 2","Team 3","Team 4","Team 5","Team 6","Cup Winner"
":gb-eng:England",7,"CL Group Stage","CL Group Stage","CL Group Stage","CL Group Stage","EL Group Stage","ECL Playoff","EL Group Stage"
":es:Spain",7,"CL Group Stage","CL Group Stage","CL Group Stage","CL Group Stage","EL Group Stage","ECL Playoff","EL Group Stage"
":it:Italy",7,"CL Group Stage","CL Group Stage","CL Group Stage","CL Group Stage","EL Group Stage","ECL Playoff","EL Group Stage"
":de:Germany",7,"CL Group Stage","CL Group Stage","CL Group Stage","CL Group Stage","EL Group Stage","ECL Playoff","EL Group Stage"
":fr:France",6,"CL Group Stage","CL Group Stage","CL Q3 League Path*","EL Group Stage","ECL Playoff",,"EL Group Stage"
":pt:Portugal",6,"CL Group Stage","CL Group Stage","CL Q3 League Path","ECL Q3","ECL Q2",,"EL Group Stage"
":nl:Netherlands",5,"CL Group Stage","CL Q3 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":at:Austria",5,"CL Group Stage","CL Q3 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":gb-sct:Scotland",5,"CL Group Stage","CL Q3 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":ru:Russia",5,"CL Group Stage","CL Q2 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":rs:Serbia",5,"CL Playoff Champions**","CL Q2 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":ua:Ukraine",5,"CL Playoff Champions","CL Q2 League Path","ECL Q3","ECL Q2",,,"EL Playoff"
":be:Belgium",5,"CL Q3 Champions","CL Q2 League Path","ECL Q2","ECL Q2",,,"EL Q3"
":ch:Switzerland",5,"CL Q3 Champions","CL Q2 League Path","ECL Q2","ECL Q2",,,"EL Q3"
":gr:Greece",5,"CL Q2 Champions","CL Q2 League Path","ECL Q2","ECL Q2",,,"EL Q3"
":cz:Czech Republic",4,"CL Q2 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":no:Norway",4,"CL Q2 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":dk:Denmark",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":hr:Croatia",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":tr:Turkey",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":cy:Cyprus",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":il:Israel",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":se:Sweden",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":bg:Bulgaria",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":ro:Romania",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":az:Azerbaijan",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":hu:Hungary",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":pl:Poland",4,"CL Q1 Champions","ECL Q2","ECL Q2",,,,"ECL Q2"
":kz:Kazakhstan",4,"CL Q1 Champions","ECL Q2","ECL Q1",,,,"ECL Q2"
":sk:Slovakia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":si:Slovenia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":by:Belarus",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":md:Moldova",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":lt:Lithuania",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":ba:Bosnia-Herzegovina",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":fi:Finland",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":lu:Luxembourg",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":lv:Latvia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":xk:Kosovo",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":am:Armenia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":ie:Ireland",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":gb-nir:Northern Ireland",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":al:Albania",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":fo:Faroe Islands",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":ee:Estonia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":ge:Georgia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":mk:North Macedonia",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":mt:Malta",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":li:Liechtenstein",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":gb-wls:Wales",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":gi:Gibraltar",4,"CL Q1 Champions","ECL Q1","ECL Q1",,,,"ECL Q1"
":is:Iceland",3,"CL Preliminary Round","ECL Q1",,,,,"ECL Q1"
":me:Montenegro",3,"CL Preliminary Round","ECL Q1",,,,,"ECL Q1"
":ad:Andorra",3,"CL Preliminary Round","ECL Q1",,,,,"ECL Q1"
":sm:San Marino",3,"CL Preliminary Round","ECL Q1",,,,,"ECL Q1"
