"id","logo","club","value","competition","nation","value_table","club_list","match_points","bonus_points","points_overall","date","status"
1,"<img src=""https://tmssl.akamaized.net/images/wappen/head/281.png"" height=""40""></img>","Manchester City",1250,"Champions League","ENG","<p style=""color:darkgreen"">1,250,000,000 €</p>","Manchester City (ENG): 1250.00 Mio. €",18,10,28,2024-06-03,"&#x274C;"
2,"<img src=""https://tmssl.akamaized.net/images/wappen/head/27.png"" height=""40""></img>","Bayern München",969.3,"Champions League","GER","<p style=""color:darkgreen"">  969,300,000 €</p>","Bayern München (GER):  969.30 Mio. €",17,11,28,2024-06-03,"&#x274C;"
3,"<img src=""https://tmssl.akamaized.net/images/wappen/head/583.png"" height=""40""></img>","Paris Saint-Germain",1020,"Champions League","FRA","<p style=""color:darkgreen"">1,020,000,000 €</p>","Paris Saint-Germain (FRA): 1020.00 Mio. €",12,11,23,2024-06-03,"&#x274C;"
4,"<img src=""https://tmssl.akamaized.net/images/wappen/head/131.png"" height=""40""></img>","FC Barcelona",784,"Champions League","ESP","<p style=""color:darkgreen"">  784,000,000 €</p>","FC Barcelona (ESP):  784.00 Mio. €",13,10,23,2024-06-03,"&#x274C;"
5,"<img src=""https://tmssl.akamaized.net/images/wappen/head/368.png"" height=""40""></img>","Sevilla",209.65,"Champions League","ESP","<p style=""color:darkgreen"">  209,650,000 €</p>","Sevilla (ESP):  209.65 Mio. €",2,4,6,2024-06-03,"&#x274C;"
6,"<img src=""https://tmssl.akamaized.net/images/wappen/head/294.png"" height=""40""></img>","Benfica",348.13,"Champions League","POR","<p style=""color:darkgreen"">  348,130,000 €</p>","Benfica (POR):  348.13 Mio. €",8,6,14,2024-06-03,"&#x274C;"
7,"<img src=""https://tmssl.akamaized.net/images/wappen/head/6195.png"" height=""40""></img>","Napoli",575,"Champions League","ITA","<p style=""color:darkgreen"">  575,000,000 €</p>","Napoli (ITA):  575.00 Mio. €",8,9,17,2024-06-03,"&#x274C;"
8,"<img src=""https://tmssl.akamaized.net/images/wappen/head/234.png"" height=""40""></img>","Feyenoord",202.98,"Champions League","NED","<p style=""color:darkgreen"">  202,980,000 €</p>","Feyenoord (NED):  202.98 Mio. €",4,4,8,2024-06-03,"&#x274C;"
9,"<img src=""https://tmssl.akamaized.net/images/wappen/head/418.png"" height=""40""></img>","Real Madrid",998,"Champions League","ESP","<p style=""color:darkgreen"">  998,000,000 €</p>","Real Madrid (ESP):  998.00 Mio. €",22,12,34,2024-06-03,"&#x274C;"
10,"<img src=""https://tmssl.akamaized.net/images/wappen/head/985.png"" height=""40""></img>","Manchester United",870.4,"Champions League","ENG","<p style=""color:darkgreen"">  870,400,000 €</p>","Manchester United (ENG):  870.40 Mio. €",3,4,7,2024-06-03,"&#x274C;"
