"country","overall_points","points_season","title_datawrapper_overall","text_datawrapper_overall","title_datawrapper_season","text_datawrapper_season"
"England",106.624,"20.892","England: 106.625 points","Manchester City: <b>19.179</b> (18%)<br>Liverpool: <b>17.286</b> (16.2%)<br>Chelsea: <b>13.786</b> (12.9%)<br>Manchester United: <b>13.089</b> (12.3%)<br>Arsenal: <b>12.179</b> (11.4%)<br>West Ham United: <b>9.804</b> (9.2%)<br>Tottenham Hotspur: <b>8.821</b> (8.3%)<br>Aston Villa: <b>5.625</b> (5.3%)<br>Leicester City: <b>3.857</b> (3.6%)<br>Brighton & Hove Albion: <b>2</b> (1.9%)<br>Newcastle United: <b>1</b> (0.9%)<br>","England: 20.893 points","Liverpool: <b>3.929</b> (18.8%, not out)<br>Arsenal: <b>3.714</b> (17.8%, not out)<br>Aston Villa: <b>3.25</b> (15.6%, not out)<br>Manchester United: <b>2.786</b> (13.3%, not out)<br>Tottenham Hotspur: <b>2.607</b> (12.5%, not out)<br>Chelsea: <b>2.5</b> (12%, not out)<br>Manchester City: <b>2.107</b> (10.1%, out)<br>"
"Italy",93.543,"18.187","Italy: 93.545 points","AS Roma: <b>15.652</b> (16.7%)<br>Internazionale: <b>14.076</b> (15%)<br>Atalanta: <b>11.911</b> (12.7%)<br>AC Milan: <b>11.786</b> (12.6%)<br>Juventus: <b>10.996</b> (11.8%)<br>Lazio: <b>10.214</b> (10.9%)<br>Napoli: <b>8.857</b> (9.5%)<br>Fiorentina: <b>8.679</b> (9.3%)<br>Bologna: <b>1.375</b> (1.5%)<br>","Italy: 18.188 points","Internazionale: <b>3.219</b> (17.7%, not out)<br>Atalanta: <b>2.625</b> (14.4%, out)<br>AC Milan: <b>2.5</b> (13.7%, out)<br>Lazio: <b>2.5</b> (13.7%, not out)<br>Juventus: <b>2.281</b> (12.5%, out)<br>AS Roma: <b>1.938</b> (10.7%, not out)<br>Fiorentina: <b>1.75</b> (9.6%, not out)<br>Bologna: <b>1.375</b> (7.6%, out)<br>"
"Spain",89.596,"19.035","Spain: 89.598 points","Real Madrid: <b>19.964</b> (22.3%)<br>FC Barcelona: <b>13.482</b> (15%)<br>Atlético Madrid: <b>12.643</b> (14.1%)<br>Villarreal: <b>11.714</b> (13.1%)<br>Real Sociedad: <b>9.536</b> (10.6%)<br>Sevilla: <b>8.75</b> (9.8%)<br>Real Betis: <b>6.982</b> (7.8%)<br>Athletic Bilbao: <b>2.821</b> (3.1%)<br>Granada CF: <b>2.5</b> (2.8%)<br>Girona FC: <b>1.143</b> (1.3%)<br>Osasuna: <b>0.062</b> (0.1%)<br>","Spain: 19.036 points","FC Barcelona: <b>3.75</b> (19.7%, not out)<br>Real Madrid: <b>3.571</b> (18.8%, not out)<br>Atlético Madrid: <b>3.5</b> (18.4%, not out)<br>Athletic Bilbao: <b>2.821</b> (14.8%, not out)<br>Real Sociedad: <b>2.429</b> (12.8%, not out)<br>Real Betis: <b>1.821</b> (9.6%, not out)<br>Girona FC: <b>1.143</b> (6%, out)<br>"
"Germany",83.956,"16.046","Germany: 83.958 points","Bayern München: <b>17.915</b> (21.3%)<br>Borussia Dortmund: <b>14.138</b> (16.8%)<br>Bayer Leverkusen: <b>13.103</b> (15.6%)<br>RB Leipzig: <b>11.107</b> (13.2%)<br>Eintracht Frankfurt: <b>9.482</b> (11.3%)<br>SC Freiburg: <b>4.161</b> (5%)<br>Union Berlin: <b>3.661</b> (4.4%)<br>1899 Hoffenheim: <b>2.589</b> (3.1%)<br>Borussia Mönchengladbach: <b>2.143</b> (2.6%)<br>VfL Wolfsburg: <b>1.643</b> (2%)<br>VfB Stuttgart: <b>1.625</b> (1.9%)<br>1.FC Heidenheim: <b>1.516</b> (1.8%)<br>1.FC Köln: <b>0.875</b> (1%)<br>","Germany: 16.047 points","Borussia Dortmund: <b>3.031</b> (18.9%, not out)<br>Bayern München: <b>2.969</b> (18.5%, not out)<br>Bayer Leverkusen: <b>2.906</b> (18.1%, not out)<br>Eintracht Frankfurt: <b>2.125</b> (13.2%, not out)<br>VfB Stuttgart: <b>1.625</b> (10.1%, out)<br>1.FC Heidenheim: <b>1.516</b> (9.4%, out)<br>RB Leipzig: <b>1</b> (6.2%, out)<br>1899 Hoffenheim: <b>0.875</b> (5.5%, out)<br>"
"France",70.022,"14.857","France: 70.024 points","Paris Saint-Germain: <b>17.452</b> (24.9%)<br>Lille OSC: <b>10.893</b> (15.6%)<br>Olympique Marseille: <b>9.333</b> (13.3%)<br>Stade Rennais: <b>7.667</b> (10.9%)<br>AS Monaco: <b>7.405</b> (10.6%)<br>Olympique Lyonnais: <b>5.893</b> (8.4%)<br>OGC Nice: <b>3.262</b> (4.7%)<br>Stade Brestois: <b>2.393</b> (3.4%)<br>RC Lens: <b>1.976</b> (2.8%)<br>Toulouse FC: <b>1.833</b> (2.6%)<br>FC Nantes: <b>1.5</b> (2.1%)<br>Stade de Reims: <b>0.417</b> (0.6%)<br>","France: 14.857 points","Lille OSC: <b>3.643</b> (24.5%, not out)<br>Paris Saint-Germain: <b>3.286</b> (22.1%, not out)<br>AS Monaco: <b>2.571</b> (17.3%, out)<br>Stade Brestois: <b>2.393</b> (16.1%, out)<br>Olympique Lyonnais: <b>2.393</b> (16.1%, not out)<br>OGC Nice: <b>0.429</b> (2.9%, out)<br>RC Lens: <b>0.143</b> (1%, out)<br>"
"Netherlands",66.65,"14.750","Netherlands: 66.65 points","PSV Eindhoven: <b>16.908</b> (25.4%)<br>Feyenoord: <b>15.4</b> (23.1%)<br>Ajax: <b>15.175</b> (22.8%)<br>AZ Alkmaar: <b>12.85</b> (19.3%)<br>FC Twente Enschede: <b>3.033</b> (4.6%)<br>Vitesse Arnhem: <b>2.8</b> (4.2%)<br>Willem II Tilburg: <b>0.4</b> (0.6%)<br>Go Ahead Eagles: <b>0.083</b> (0.1%)<br>","Netherlands: 14.75 points","PSV Eindhoven: <b>3.708</b> (25.1%, not out)<br>Feyenoord: <b>3.5</b> (23.7%, not out)<br>Ajax: <b>3.375</b> (22.9%, not out)<br>AZ Alkmaar: <b>2.25</b> (15.3%, not out)<br>FC Twente Enschede: <b>1.833</b> (12.4%, out)<br>Go Ahead Eagles: <b>0.083</b> (0.6%, out)<br>"
"Portugal",62.066,"16.050","Portugal: 62.067 points","Benfica: <b>18.033</b> (29.1%)<br>FC Porto: <b>15.083</b> (24.3%)<br>Sporting CP Lisbon: <b>11.5</b> (18.5%)<br>Sporting Braga: <b>10.533</b> (17%)<br>Vitória Guimarães: <b>4.633</b> (7.5%)<br>CD Santa Clara: <b>0.833</b> (1.3%)<br>Rio Ave: <b>0.7</b> (1.1%)<br>Paços de Ferreira: <b>0.333</b> (0.5%)<br>Gil Vicente: <b>0.25</b> (0.4%)<br>FC Arouca: <b>0.167</b> (0.3%)<br>","Portugal: 16.05 points","Benfica: <b>4.35</b> (27.1%, not out)<br>Vitória Guimarães: <b>4.05</b> (25.2%, not out)<br>Sporting CP Lisbon: <b>3.1</b> (19.3%, out)<br>Sporting Braga: <b>2.4</b> (15%, out)<br>FC Porto: <b>2.15</b> (13.4%, out)<br>"
"Belgium",56.45,"15.250","Belgium: 56.45 points","Club Brugge: <b>16.05</b> (28.4%)<br>AA Gent: <b>11.9</b> (21.1%)<br>Union Saint-Gilloise: <b>8.8</b> (15.6%)<br>Anderlecht: <b>7.25</b> (12.8%)<br>Royal Antwerp: <b>5</b> (8.9%)<br>Cercle Brugge: <b>2.85</b> (5%)<br>Racing Genk: <b>2.7</b> (4.8%)<br>Standard Liège: <b>1.5</b> (2.7%)<br>Charleroi: <b>0.4</b> (0.7%)<br>","Belgium: 15.25 points","Club Brugge: <b>3.95</b> (25.9%, not out)<br>Anderlecht: <b>3.35</b> (22%, out)<br>AA Gent: <b>2.9</b> (19%, out)<br>Cercle Brugge: <b>2.85</b> (18.7%, not out)<br>Union Saint-Gilloise: <b>2.2</b> (14.4%, out)<br>"
"Czech Republic",43.9,"10.350","Czech Republic: 43.9 points","Slavia Praha: <b>14.8</b> (33.7%)<br>Viktoria Plzen: <b>12.95</b> (29.5%)<br>Sparta Praha: <b>8.525</b> (19.4%)<br>Slovan Liberec: <b>1.9</b> (4.3%)<br>1.FC Slovácko: <b>1.825</b> (4.2%)<br>Mladá Boleslav: <b>1.8</b> (4.1%)<br>FK Jablonec: <b>1.5</b> (3.4%)<br>Baník Ostrava: <b>0.6</b> (1.4%)<br>Bohemians Praha: <b>0</b> (0%)<br>","Czech Republic: 10.35 points","Viktoria Plzen: <b>3.65</b> (35.3%, not out)<br>Sparta Praha: <b>2.9</b> (28%, out)<br>Mladá Boleslav: <b>1.8</b> (17.4%, out)<br>Slavia Praha: <b>1.4</b> (13.5%, out)<br>Baník Ostrava: <b>0.6</b> (5.8%, out)<br>"
"Turkey",43.5,"9.900","Turkey: 43.5 points","Fenerbahçe: <b>13.55</b> (31.1%)<br>Galatasaray: <b>10.925</b> (25.1%)<br>Istanbul Basaksehir: <b>6.7</b> (15.4%)<br>Besiktas: <b>4.85</b> (11.1%)<br>Sivasspor: <b>3.5</b> (8%)<br>Trabzonspor: <b>2.5</b> (5.7%)<br>Adana Demirspor: <b>0.875</b> (2%)<br>Konyaspor: <b>0.5</b> (1.1%)<br>Alanyaspor: <b>0.1</b> (0.2%)<br>","Turkey: 9.9 points","Fenerbahçe: <b>2.95</b> (29.8%, not out)<br>Galatasaray: <b>2.75</b> (27.8%, out)<br>Istanbul Basaksehir: <b>2.1</b> (21.2%, out)<br>Besiktas: <b>1.5</b> (15.2%, out)<br>Trabzonspor: <b>0.6</b> (6.1%, out)<br>"
