"team","country","overall_points_team","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"1.FC Heidenheim","Germany",0,71.661,0,":de:","Germany: 71.661 points",,,
"1.FC Köln","Germany",0.875,71.661,1.2,":de:","Germany: 71.661 points","RheinEnergie Stadion",50.933611,6.875
"1.FC Slovácko","Czech Republic",1.825,36.55,5,":cz:","Czech Republic: 36.55 points","Mestský fotbalový stadion Miroslava Valenty",49.065556,17.471461
"1899 Hoffenheim","Germany",1.714,71.661,2.4,":de:","Germany: 71.661 points","Prezero-Arena",49.239,8.888278
"AA Gent","Belgium",9.7,43.6,22.2,":be:","Belgium: 43.6 points","Jules Ottenstadion",51.031389,3.766111
"Aberdeen","Scotland",2.575,28.4,9.1,":gb-sct:","Scotland: 28.4 points","Pittodrie Stadium",57.159166666,-2.088888888
"AC Milan","Italy",10.036,79.107,12.7,":it:","Italy: 79.107 points","Stadio Giuseppe Meazza",45.478055,9.123947
"AC Virtus","San Marino",0.167,2.5,6.7,":sm:","San Marino: 2.5 points",,,
"Adana Demirspor","Turkey",0.875,35.3,2.5,":tr:","Turkey: 35.3 points",,,
"AEK Athens","Greece",2.9,28.75,10.1,":gr:","Greece: 28.75 points","Olympic Stadium of Athens",38.036111111,23.7875
"AEK Larnaca","Cyprus",2.8,18.975,14.8,":cy:","Cyprus: 18.975 points","AEK Arena - Georgios Karapatakis",34.9263,33.597747222
"AEL Limassol","Cyprus",0.625,18.975,3.3,":cy:","Cyprus: 18.975 points","Tsirio Stadium",34.700914,33.022975
"AGF Aarhus","Denmark",0.85,28.95,2.9,":dk:","Denmark: 28.95 points","Vejlby/Risskov Centret",56.1909,10.2093
"AIK Stockholm","Sweden",0.5,19.25,2.6,":se:","Sweden: 19.25 points","Friends Arena",59.3725,18
"Ajax","Netherlands",12.3,54.567,22.5,":nl:","Netherlands: 54.567 points","Johan Cruyff Arena",52.314166666,4.941944444
"Akademija Pandev","North Macedonia",0,6.167,0,":mk:","North Macedonia: 6.167 points","Stadion Mladost",41.4462,22.637708
"Alanyaspor","Turkey",0.1,35.3,0.3,":tr:","Turkey: 35.3 points","Alanya Oba Stadium",36.5626,32.0791
"Alashkert FC","Armenia",2.125,11.25,18.9,":am:","Armenia: 11.25 points","Alashkert Stadium",40.154605,44.475231
"Anderlecht","Belgium",3.9,43.6,8.9,":be:","Belgium: 43.6 points","Lotto Park",50.834167,4.298333
"Anorthosis Famagusta","Cyprus",2,18.975,10.5,":cy:","Cyprus: 18.975 points","Antonis Papadopoulos Stadium",34.937422,33.620922
"APOEL Nicosia","Cyprus",3.425,18.975,18.1,":cy:","Cyprus: 18.975 points","GSP Stadium",35.114542,33.362864
"Apollon Limassol","Cyprus",2.4,18.975,12.6,":cy:","Cyprus: 18.975 points","Tsirio Stadium",34.700914,33.022975
"Ararat-Armenia","Armenia",2.25,11.25,20,":am:","Armenia: 11.25 points","Republican Stadium",40.171944,44.525833
"Ararat Yerevan","Armenia",0.625,11.25,5.6,":am:","Armenia: 11.25 points","Republican Stadium",40.171944,44.525833
"Arda Kardzhali","Bulgaria",0,18.375,0,":bg:","Bulgaria: 18.375 points","Arda Arena",41.6411856,25.3758564
"Aris Limassol","Cyprus",1.7,18.975,9,":cy:","Cyprus: 18.975 points","Tsirio Stadium",34.700914,33.022975
"Aris Thessaloniki","Greece",1.6,28.75,5.6,":gr:","Greece: 28.75 points","Kleanthis Vikelidis Stadium",40.600069,22.9695
"Arsenal","England",9.321,89.161,10.5,":gb-eng:","England: 89.161 points","Emirates Stadium",51.554867,-0.109112
"Arsenal Tivat","Montenegro",0.167,7.208,2.3,":me:","Montenegro: 7.208 points",,,
"AS Monaco","France",5.69,58.095,9.8,":fr:","France: 58.095 points","Stade Louis II",43.727778,7.415556
"AS Roma","Italy",13.714,79.107,17.3,":it:","Italy: 79.107 points","Stadio Olimpico",41.933872,12.454714
"Aston Villa","England",3.232,89.161,3.6,":gb-eng:","England: 89.161 points",,,
"Atalanta","Italy",10.036,79.107,12.7,":it:","Italy: 79.107 points","Stadio Atleti Azzurri d'Italia",45.708889,9.680833
"Athletic Bilbao","Spain",0,73.991,0,":es:","Spain: 73.991 points","Lezama Facilities",43.2775,-2.83932
"Atlètic Club d'Escaldes","Andorra",0.167,5.333,3.1,":ad:","Andorra: 5.333 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Atlético Madrid","Spain",10,73.991,13.5,":es:","Spain: 73.991 points","Estadio Metropolitano",40.436111,-3.599444
"Austria Wien","Austria",1.3,29.5,4.4,":at:","Austria: 29.5 points","Generali Arena",48.162306,16.386694
"AZ Alkmaar","Netherlands",10.6,54.567,19.4,":nl:","Netherlands: 54.567 points","AFAS Stadion",52.6125,4.741667
