"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"1.FC Köln","Germany",0.75,"not out",13,5.8,":de:","Germany: 13 points","RheinEnergie Stadion",50.933611,6.875
"1.FC Slovácko","Czech Republic",1.375,"not out",6.25,22,":cz:","Czech Republic: 6.25 points","Mestský fotbalový stadion Miroslava Valenty",49.065556,17.471461
"AA Gent","Belgium",0.8,"not out",9.4,8.5,":be:","Belgium: 9.4 points","Jules Ottenstadion",51.031389,3.766111
"AC Milan","Italy",2.286,"not out",11.071,20.6,":it:","Italy: 11.071 points","Stadio Giuseppe Meazza",45.478055,9.123947
"AEK Larnaca","Cyprus",1.5,"not out",3.9,38.5,":cy:","Cyprus: 3.9 points","AEK Arena - Georgios Karapatakis",34.9263,33.597747222
"AIK Stockholm","Sweden",0.5,"out",5.75,8.7,":se:","Sweden: 5.75 points","Friends Arena",59.3725,18
"Ajax","Netherlands",1.6,"not out",7.9,20.3,":nl:","Netherlands: 7.9 points","Johan Cruyff Arena",52.314166666,4.941944444
"Akademija Pandev","North Macedonia",0,"out",1.625,0,":mk:","North Macedonia: 1.625 points","Stadion Mladost",41.4462,22.637708
"Alashkert FC","Armenia",0.25,"out",2.375,10.5,":am:","Armenia: 2.375 points","Alashkert Stadium",40.154605,44.475231
"Anderlecht","Belgium",1.4,"not out",9.4,14.9,":be:","Belgium: 9.4 points","Lotto Park",50.834167,4.298333
"APOEL Nicosia","Cyprus",0.8,"out",3.9,20.5,":cy:","Cyprus: 3.9 points","GSP Stadium",35.114542,33.362864
"Apollon Limassol","Cyprus",1,"not out",3.9,25.6,":cy:","Cyprus: 3.9 points","Tsirio Stadium",34.700914,33.022975
"Ararat-Armenia","Armenia",0.25,"out",2.375,10.5,":am:","Armenia: 2.375 points","Republican Stadium",40.171944,44.525833
"Ararat Yerevan","Armenia",0.125,"out",2.375,5.3,":am:","Armenia: 2.375 points","Republican Stadium",40.171944,44.525833
"Aris Limassol","Cyprus",0.2,"out",3.9,5.1,":cy:","Cyprus: 3.9 points","Tsirio Stadium",34.700914,33.022975
"Aris Thessaloniki","Greece",0.75,"out",2.125,35.3,":gr:","Greece: 2.125 points","Kleanthis Vikelidis Stadium",40.600069,22.9695
"Arsenal","England",1.429,"not out",15.286,9.3,":gb-eng:","England: 15.286 points","Emirates Stadium",51.554867,-0.109112
"AS Monaco","France",0.917,"not out",8.917,10.3,":fr:","France: 8.917 points","Stade Louis II",43.727778,7.415556
"AS Roma","Italy",0.714,"not out",11.071,6.5,":it:","Italy: 11.071 points","Stadio Olimpico",41.933872,12.454714
"Atlètic Club d'Escaldes","Andorra",0.167,"out",0.667,25,":ad:","Andorra: 0.667 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Atlético Madrid","Spain",1.143,"out",11.714,9.8,":es:","Spain: 11.714 points","Estadio Metropolitano",40.436111,-3.599444
"Austria Wien","Austria",0.4,"not out",4.5,8.9,":at:","Austria: 4.5 points","Generali Arena",48.162306,16.386694
"AZ Alkmaar","Netherlands",2.8,"not out",7.9,35.4,":nl:","Netherlands: 7.9 points","AFAS Stadion",52.6125,4.741667
"B36 Torshavn","Faroe Islands",0.625,"out",2.25,27.8,":fo:","Faroe Islands: 2.25 points","Gundadalur",62.0193487,-6.7811394
"Bala Town","Wales",0.333,"out",1.167,28.6,":gb-wls:","Wales: 1.167 points","Maes Tegid",52.912222,-3.601389
