"country","team","scored_points","status"
"Germany","Bayern München",0.75,"not out"
"Germany","Borussia Dortmund",0.75,"not out"
"Germany","RB Leipzig",0.75,"not out"
"Germany","Bayer Leverkusen",0.75,"not out"
"Germany","VfB Stuttgart",0.75,"not out"
"Germany","Eintracht Frankfurt",0,"not out"
"Germany","1899 Hoffenheim",0,"not out"
"Germany","1.FC Heidenheim",0,"not out"
"Italy","Internazionale",0.75,"not out"
"Italy","Atalanta",0.75,"not out"
"Italy","Juventus",0.75,"not out"
"Italy","AC Milan",0.75,"not out"
"Italy","Bologna",0.75,"not out"
"Italy","AS Roma",0,"not out"
"Italy","Lazio",0,"not out"
"Italy","Fiorentina",0,"not out"
"Spain","Real Madrid",0.857142857142857,"not out"
"Spain","FC Barcelona",0.857142857142857,"not out"
"Spain","Atlético Madrid",0.857142857142857,"not out"
"Spain","Girona FC",0.857142857142857,"not out"
"Spain","Real Sociedad",0,"not out"
"Spain","Athletic Bilbao",0,"not out"
"Spain","Real Betis",0,"not out"
"England","Manchester City",0.857142857142857,"not out"
"England","Liverpool",0.857142857142857,"not out"
"England","Arsenal",0.857142857142857,"not out"
"England","Aston Villa",0.857142857142857,"not out"
"England","Manchester United",0,"not out"
"England","Tottenham Hotspur",0,"not out"
"England","Chelsea",0,"not out"
"Portugal","Benfica",1.2,"not out"
"Portugal","Sporting CP Lisbon",1.2,"not out"
"Portugal","Sporting Braga",0.4,"not out"
"Portugal","Vitória Guimarães",0.4,"not out"
"Portugal","FC Porto",0,"not out"
"France","Paris Saint-Germain",0.857142857142857,"not out"
"France","AS Monaco",0.857142857142857,"not out"
"France","Stade Brestois",0.857142857142857,"not out"
"France","Lille OSC",0.142857142857143,"not out"
"France","Olympique Lyonnais",0,"not out"
"France","OGC Nice",0,"not out"
"France","RC Lens",0,"not out"
"Armenia","FC Noah",1.125,"not out"
"Armenia","Ararat-Armenia",0.5,"not out"
"Armenia","Urartu FC",0.5,"out"
"Armenia","Pyunik Yerevan",0.375,"not out"
"Netherlands","Feyenoord",1,"not out"
"Netherlands","PSV Eindhoven",1,"not out"
"Netherlands","Ajax",0.333333333333333,"not out"
"Netherlands","Go Ahead Eagles",0.0833333333333333,"out"
"Netherlands","AZ Alkmaar",0,"not out"
"Netherlands","FC Twente Enschede",0,"not out"
"Hungary","Paksi FC",1,"not out"
"Hungary","Puskás Akadémia",0.5,"not out"
"Hungary","Ferencváros",0.5,"not out"
"Hungary","FC Fehérvár",0.375,"not out"
"Sweden","IF Elfsborg",1,"not out"
"Sweden","BK Häcken",0.75,"not out"
"Sweden","Malmö FF",0.375,"not out"
"Sweden","Djurgårdens IF",0.25,"not out"
"Denmark","FC Midtjylland",0.75,"not out"
"Denmark","FC København",0.75,"not out"
"Denmark","Brøndby IF",0.375,"not out"
"Denmark","Silkeborg IF",0.25,"not out"
"Austria","Sturm Graz",1.2,"not out"
"Austria","Rapid Wien",0.4,"not out"
