"country","team","scored_points","status","year"
"Germany","Bayern München",0.75,"not out",2025
"Germany","Borussia Dortmund",0.75,"not out",2025
"Germany","RB Leipzig",0.75,"not out",2025
"Germany","Bayer Leverkusen",0.75,"not out",2025
"Germany","VfB Stuttgart",0.75,"not out",2025
"Germany","Eintracht Frankfurt",0,"not out",2025
"Germany","1899 Hoffenheim",0,"not out",2025
"Germany","1.FC Heidenheim",0,"not out",2025
"Italy","Internazionale",0.75,"not out",2025
"Italy","Atalanta",0.75,"not out",2025
"Italy","Juventus",0.75,"not out",2025
"Italy","AC Milan",0.75,"not out",2025
"Italy","Bologna",0.75,"not out",2025
"Italy","AS Roma",0,"not out",2025
"Italy","Lazio",0,"not out",2025
"Italy","Fiorentina",0,"not out",2025
"Spain","Real Madrid",0.857142857142857,"not out",2025
"Spain","FC Barcelona",0.857142857142857,"not out",2025
"Spain","Atlético Madrid",0.857142857142857,"not out",2025
"Spain","Girona FC",0.857142857142857,"not out",2025
"Spain","Real Sociedad",0,"not out",2025
"Spain","Athletic Bilbao",0,"not out",2025
"Spain","Real Betis",0,"not out",2025
"England","Manchester City",0.857142857142857,"not out",2025
"England","Liverpool",0.857142857142857,"not out",2025
"England","Arsenal",0.857142857142857,"not out",2025
"England","Aston Villa",0.857142857142857,"not out",2025
"England","Manchester United",0,"not out",2025
"England","Tottenham Hotspur",0,"not out",2025
"England","Chelsea",0,"not out",2025
"France","Paris Saint-Germain",0.857142857142857,"not out",2025
"France","AS Monaco",0.857142857142857,"not out",2025
"France","Stade Brestois",0.857142857142857,"not out",2025
"France","Lille OSC",0,"not out",2025
"France","Olympique Lyonnais",0,"not out",2025
"France","OGC Nice",0,"not out",2025
"France","RC Lens",0,"not out",2025
"Portugal","Benfica",1.2,"not out",2025
"Portugal","Sporting CP Lisbon",1.2,"not out",2025
"Portugal","Sporting Braga",0,"not out",2025
"Portugal","FC Porto",0,"not out",2025
"Portugal","Vitória Guimarães",0,"not out",2025
"Netherlands","Feyenoord",1,"not out",2025
"Netherlands","PSV Eindhoven",1,"not out",2025
"Netherlands","FC Twente Enschede",0,"not out",2025
"Netherlands","Ajax",0,"not out",2025
"Netherlands","AZ Alkmaar",0,"not out",2025
"Netherlands","Go Ahead Eagles",0,"not out",2025
"Ukraine","Shakhtar Donetsk",1.2,"not out",2025
"Ukraine","Dynamo Kyiv",0,"not out",2025
"Ukraine","Kryvbas Kryviy Rih",0,"not out",2025
"Ukraine","SC Dnipro-1",0,"not out",2025
"Ukraine","Polissya Zhytomyr",0,"not out",2025
"Scotland","Celtic",1.2,"not out",2025
"Scotland","Rangers",0,"not out",2025
"Scotland","Kilmarnock",0,"not out",2025
"Scotland","Hearts FC",0,"not out",2025
"Scotland","St. Mirren",0,"not out",2025
"Austria","Sturm Graz",1.2,"not out",2025
"Austria","FC Salzburg",0,"not out",2025
"Austria","Rapid Wien",0,"not out",2025
"Austria","LASK",0,"not out",2025
"Austria","Austria Wien",0,"not out",2025
"Belgium","Club Brugge",1.2,"not out",2025
"Belgium","Union Saint-Gilloise",0,"not out",2025
"Belgium","Cercle Brugge",0,"not out",2025
"Belgium","Anderlecht",0,"not out",2025
"Belgium","AA Gent",0,"not out",2025
"Liechtenstein","FC Vaduz",0,"not out",2025
"Gibraltar","Lincoln Red Imps",0,"not out",2025
"Gibraltar","St Joseph's FC",0,"not out",2025
"Gibraltar","FCB Magpies",0,"not out",2025
"North Macedonia","FC Struga",0,"not out",2025
"North Macedonia","Shkendija Tetovo",0,"not out",2025
"North Macedonia","Tikves Kavadarci",0,"not out",2025
"Montenegro","Decic Tuzi",0,"not out",2025
"Montenegro","Buducnost Podgorica",0,"not out",2025
"Montenegro","Mornar Bar",0,"not out",2025
"Andorra","UE Santa Coloma",0,"not out",2025
"Andorra","Inter Club d'Escaldes",0,"not out",2025
"Andorra","Atlètic Club d'Escaldes",0,"not out",2025
"San Marino","AC Virtus",0,"not out",2025
"San Marino","Tre Penne",0,"not out",2025
"San Marino","La Fiorita",0,"not out",2025
"Slovakia","Slovan Bratislava",0,"not out",2025
"Slovakia","MFK Ruzomberok",0,"not out",2025
"Slovakia","Spartak Trnava",0,"not out",2025
"Slovakia","DAC Dunajska Streda",0,"not out",2025
"Bulgaria","Ludogorets Razgrad",0,"not out",2025
"Bulgaria","Botev Plovdiv",0,"not out",2025
"Bulgaria","CSKA 1948 Sofia",0,"not out",2025
"Bulgaria","Cherno More Varna",0,"not out",2025
"Finland","HJK Helsinki",0,"not out",2025
"Finland","KuPS Kuopio",0,"not out",2025
"Finland","VPS Vaasa",0,"not out",2025
"Finland","Ilves Tampere",0,"not out",2025
"Estonia","Flora Tallinn",0,"not out",2025
"Estonia","Levadia Tallinn",0,"not out",2025
"Estonia","Paide Linnameeskond",0,"not out",2025
"Estonia","Kalev Tallinn",0,"not out",2025
"Romania","FCSB",0,"not out",2025
"Romania","Corvinul Hunedoara",0,"not out",2025
"Romania","CFR Cluj",0,"not out",2025
