"country","team","overall_points_team","overall_points_country","percentage","flag","text"
"Andorra","FC Lusitanos",0.5,21.5,0.0232558139534884,":ad:","Andorra: 21.5 points"
"Andorra","Inter Club d'Escaldes",4,21.5,0.186046511627907,":ad:","Andorra: 21.5 points"
"Andorra","Sant Julià",3.5,21.5,0.162790697674419,":ad:","Andorra: 21.5 points"
"Andorra","CE Principat",0,21.5,0,":ad:","Andorra: 21.5 points"
"Andorra","Constelacio Sportiva",0,21.5,0,":ad:","Andorra: 21.5 points"
"Andorra","UE Santa Coloma",0,21.5,0,":ad:","Andorra: 21.5 points"
"Andorra","FC Encamp",0,21.5,0,":ad:","Andorra: 21.5 points"
"Andorra","Ràngers FC",0,21.5,0,":ad:","Andorra: 21.5 points"
"Andorra","UE Engordany",4,21.5,0.186046511627907,":ad:","Andorra: 21.5 points"
"Andorra","Atlètic Club d'Escaldes",0.5,21.5,0.0232558139534884,":ad:","Andorra: 21.5 points"
"Andorra","FC Santa Coloma",9,21.5,0.418604651162791,":ad:","Andorra: 21.5 points"
"Albania","Teuta Durrës",8.5,160.5,0.0529595015576324,":al:","Albania: 160.5 points"
"Albania","Tomori Berat",0,160.5,0,":al:","Albania: 160.5 points"
"Albania","FK Kukësi",14,160.5,0.0872274143302181,":al:","Albania: 160.5 points"
"Albania","Luftëtari Gjirokastër",0.5,160.5,0.00311526479750779,":al:","Albania: 160.5 points"
"Albania","Bylis Ballshi",0,160.5,0,":al:","Albania: 160.5 points"
"Albania","Apolonia Fier",0,160.5,0,":al:","Albania: 160.5 points"
"Albania","Labinoti Elbasan",0,160.5,0,":al:","Albania: 160.5 points"
"Albania","Besa Kavajë",4,160.5,0.0249221183800623,":al:","Albania: 160.5 points"
"Albania","Skënderbeu Korçë",20,160.5,0.124610591900312,":al:","Albania: 160.5 points"
"Albania","17 Nëntori Tirana",16,160.5,0.0996884735202492,":al:","Albania: 160.5 points"
"Albania","Albpetrol Patosi",1,160.5,0.00623052959501558,":al:","Albania: 160.5 points"
"Albania","KS Elbasani",2,160.5,0.0124610591900312,":al:","Albania: 160.5 points"
"Albania","Dinamo Tirana",16.5,160.5,0.102803738317757,":al:","Albania: 160.5 points"
"Albania","KF Laçi",10,160.5,0.0623052959501558,":al:","Albania: 160.5 points"
"Albania","KS Flamurtari Vlorë",13,160.5,0.0809968847352025,":al:","Albania: 160.5 points"
"Albania","Partizani Tirana",23.5,160.5,0.146417445482866,":al:","Albania: 160.5 points"
"Albania","KF Tirana",16.5,160.5,0.102803738317757,":al:","Albania: 160.5 points"
"Albania","Vllaznia Shkodër",15,160.5,0.0934579439252336,":al:","Albania: 160.5 points"
"Armenia","Spartak Yerevan",0,90,0,":am:","Armenia: 90 points"
"Armenia","Ararat Yerevan",33,90,0.366666666666667,":am:","Armenia: 90 points"
"Armenia","Shirak Gyumri",10.5,90,0.116666666666667,":am:","Armenia: 90 points"
"Armenia","Alashkert FC",16.5,90,0.183333333333333,":am:","Armenia: 90 points"
"Armenia","FC Noah",1.5,90,0.0166666666666667,":am:","Armenia: 90 points"
"Armenia","Araks Ararat",0,90,0,":am:","Armenia: 90 points"
"Armenia","Ararat-Armenia",10,90,0.111111111111111,":am:","Armenia: 90 points"
