"country","team","overall_points_team","status","overall_points_country","percentage","flag","text"
"Italy","&#x274C;AC Milan",2.57142857142857,"&#x274C;",21,0.122448979591837,":it:","Italy: 21 points"
"Italy","&#x274C;Fiorentina",3.28571428571429,"&#x274C;",21,0.156462585034014,":it:","Italy: 21 points"
"Italy","&#x274C;Lazio",2.57142857142857,"&#x274C;",21,0.122448979591837,":it:","Italy: 21 points"
"Italy","&#x274C;Internazionale",2.85714285714286,"&#x274C;",21,0.136054421768707,":it:","Italy: 21 points"
"Italy","&#x274C;Napoli",2.42857142857143,"&#x274C;",21,0.115646258503401,":it:","Italy: 21 points"
"Italy","&#x274C;AS Roma",3.28571428571429,"&#x274C;",21,0.156462585034014,":it:","Italy: 21 points"
"Italy","&#x274C;Atalanta",4,"&#x274C;",21,0.19047619047619,":it:","Italy: 21 points"
"Germany","&#x274C;Union Berlin",0.857142857142857,"&#x274C;",19.3571428571429,0.044280442804428,":de:","Germany: 19.357 points"
"Germany","&#x274C;RB Leipzig",2.57142857142857,"&#x274C;",19.3571428571429,0.132841328413284,":de:","Germany: 19.357 points"
"Germany","&#x274C;Bayer Leverkusen",4.14285714285714,"&#x274C;",19.3571428571429,0.214022140221402,":de:","Germany: 19.357 points"
"Germany","&#x274C;SC Freiburg",2.28571428571429,"&#x274C;",19.3571428571429,0.118081180811808,":de:","Germany: 19.357 points"
"Germany","&#x274C;Borussia Dortmund",4.14285714285714,"&#x274C;",19.3571428571429,0.214022140221402,":de:","Germany: 19.357 points"
"Germany","&#x274C;Bayern München",4,"&#x274C;",19.3571428571429,0.206642066420664,":de:","Germany: 19.357 points"
"Germany","&#x274C;Eintracht Frankfurt",1.35714285714286,"&#x274C;",19.3571428571429,0.0701107011070111,":de:","Germany: 19.357 points"
"England","&#x274C;Newcastle United",1,"&#x274C;",17.375,0.0575539568345324,":gb-eng:","England: 17.375 points"
"England","&#x274C;Aston Villa",2.375,"&#x274C;",17.375,0.136690647482014,":gb-eng:","England: 17.375 points"
"England","&#x274C;Brighton & Hove Albion",2,"&#x274C;",17.375,0.115107913669065,":gb-eng:","England: 17.375 points"
"England","&#x274C;West Ham United",2.375,"&#x274C;",17.375,0.136690647482014,":gb-eng:","England: 17.375 points"
"England","&#x274C;Manchester United",0.875,"&#x274C;",17.375,0.0503597122302158,":gb-eng:","England: 17.375 points"
"England","&#x274C;Liverpool",2.5,"&#x274C;",17.375,0.143884892086331,":gb-eng:","England: 17.375 points"
"England","&#x274C;Arsenal",2.75,"&#x274C;",17.375,0.158273381294964,":gb-eng:","England: 17.375 points"
"England","&#x274C;Manchester City",3.5,"&#x274C;",17.375,0.201438848920863,":gb-eng:","England: 17.375 points"
"France","&#x274C;RC Lens",1.83333333333333,"&#x274C;",16.25,0.112820512820513,":fr:","France: 16.25 points"
"France","&#x274C;Stade Rennais",2,"&#x274C;",16.25,0.123076923076923,":fr:","France: 16.25 points"
"France","&#x274C;Toulouse FC",1.83333333333333,"&#x274C;",16.25,0.112820512820513,":fr:","France: 16.25 points"
"France","&#x274C;Lille OSC",3.08333333333333,"&#x274C;",16.25,0.18974358974359,":fr:","France: 16.25 points"
"France","&#x274C;Paris Saint-Germain",3.83333333333333,"&#x274C;",16.25,0.235897435897436,":fr:","France: 16.25 points"
"France","&#x274C;Olympique Marseille",3.66666666666667,"&#x274C;",16.25,0.225641025641026,":fr:","France: 16.25 points"
"Spain","&#x274C;Osasuna",0.0625,"&#x274C;",16.0625,0.00389105058365759,":es:","Spain: 16.062 points"
