"logo","club","nation","match_points","bonus_points","points_overall"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/5.png"" height=""40""></img>","AC Milan","ITA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/11.png"" height=""40""></img>","Arsenal","ENG",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/13.png"" height=""40""></img>","Atlético Madrid","ESP",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/27.png"" height=""40""></img>","Bayern München","GER",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/294.png"" height=""40""></img>","Benfica","POR",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/16.png"" height=""40""></img>","Borussia Dortmund","GER",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/371.png"" height=""40""></img>","Celtic","SCO",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/131.png"" height=""40""></img>","FC Barcelona","ESP",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/190.png"" height=""40""></img>","FC København","DEN",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/720.png"" height=""40""></img>","FC Porto","POR",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/409.png"" height=""40""></img>","FC Salzburg","AUT",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/234.png"" height=""40""></img>","Feyenoord","NED",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/141.png"" height=""40""></img>","Galatasaray","TUR",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/46.png"" height=""40""></img>","Internazionale","ITA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/398.png"" height=""40""></img>","Lazio","ITA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/281.png"" height=""40""></img>","Manchester City","ENG",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/985.png"" height=""40""></img>","Manchester United","ENG",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6195.png"" height=""40""></img>","Napoli","ITA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/762.png"" height=""40""></img>","Newcastle United","ENG",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/583.png"" height=""40""></img>","Paris Saint-Germain","FRA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/383.png"" height=""40""></img>","PSV Eindhoven","NED",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/23826.png"" height=""40""></img>","RB Leipzig","GER",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/826.png"" height=""40""></img>","RC Lens","FRA",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/418.png"" height=""40""></img>","Real Madrid","ESP",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/681.png"" height=""40""></img>","Real Sociedad","ESP",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/159.png"" height=""40""></img>","Red Star Belgrade","SRB",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1096.png"" height=""40""></img>","Royal Antwerp","BEL",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/368.png"" height=""40""></img>","Sevilla","ESP",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/660.png"" height=""40""></img>","Shakhtar Donetsk","UKR",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1075.png"" height=""40""></img>","Sporting Braga","POR",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/89.png"" height=""40""></img>","Union Berlin","GER",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/452.png"" height=""40""></img>","Young Boys","SUI",0,4,"<b>4</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/157.png"" height=""40""></img>","AA Gent","BEL",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/370.png"" height=""40""></img>","Aberdeen","SCO",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2441.png"" height=""40""></img>","AEK Athens","GRE",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/610.png"" height=""40""></img>","Ajax","NED",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/10586.png"" height=""40""></img>","Aris Limassol","CYP",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/12.png"" height=""40""></img>","AS Roma","ITA",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/405.png"" height=""40""></img>","Aston Villa","ENG",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/800.png"" height=""40""></img>","Atalanta","ITA",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1090.png"" height=""40""></img>","AZ Alkmaar","NED",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/15.png"" height=""40""></img>","Bayer Leverkusen","GER",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/114.png"" height=""40""></img>","Besiktas","TUR",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1109.png"" height=""40""></img>","BK Häcken","SWE",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/501.png"" height=""40""></img>","Bodø/Glimt","NOR",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/3737.png"" height=""40""></img>","Breidablik","ISL",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1237.png"" height=""40""></img>","Brighton & Hove Albion","ENG",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2282.png"" height=""40""></img>","Club Brugge","BEL",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6621.png"" height=""40""></img>","Cukaricki Belgrade","SRB",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/419.png"" height=""40""></img>","Dinamo Zagreb","CRO",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/24.png"" height=""40""></img>","Eintracht Frankfurt","GER",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/28082.png"" height=""40""></img>","FC Ballkani","KOS",0,0,"<b>0</b>"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/2790.png"" height=""40""></img>","FC Lugano","SUI",0,0,"<b>0</b>"
