"flag","country","team","participations","average_points"
":de:","Germany","1.FC Kaiserslautern",17,6.70588235294118
":de:","Germany","1.FC Köln",27,8.14814814814815
,"East Germany","1.FC Magdeburg",15,5.53333333333333
":be:","Belgium","AA Gent",22,4.52272727272727
":dk:","Denmark","AaB Aalborg",12,3.70833333333333
":gb-sct:","Scotland","Aberdeen",36,3.95833333333333
":it:","Italy","AC Milan",49,12.5612244897959
":it:","Italy","AC Parma",15,11.4666666666667
":at:","Austria","Admira Wacker",11,3.59090909090909
":gr:","Greece","AEK Athens",45,4.43333333333333
":cy:","Cyprus","AEL Limassol",10,2
":dk:","Denmark","AGF Aarhus",18,2.91666666666667
":se:","Sweden","AIK Stockholm",27,3.09259259259259
":fr:","France","AJ Auxerre",17,7.44117647058824
":nl:","Netherlands","Ajax",59,10.1610169491525
":be:","Belgium","Anderlecht",61,8.08196721311475
":cy:","Cyprus","Anorthosis Famagusta",27,2.53703703703704
":cy:","Cyprus","APOEL Nicosia",43,3.81395348837209
":cy:","Cyprus","Apollon Limassol",25,2.62
":am:","Armenia","Ararat Yerevan",11,3
":lu:","Luxembourg","Aris Bonnevoie",10,0.9
":gr:","Greece","Aris Thessaloniki",21,3
":gb-eng:","England","Arsenal",37,14.3918918918919
":fr:","France","AS Monaco",32,8.328125
":it:","Italy","AS Roma",44,10.7613636363636
":fr:","France","AS Saint-Étienne",22,5.97727272727273
":gb-eng:","England","Aston Villa",15,5.73333333333333
":es:","Spain","Athletic Bilbao",29,7.6551724137931
":es:","Spain","Atlético Madrid",49,11.8775510204082
":at:","Austria","Austria Wien",46,4.53260869565217
":lu:","Luxembourg","Avenir Beggen",16,0.5625
":nl:","Netherlands","AZ Alkmaar",21,9.40476190476191
":dk:","Denmark","B1903 København",11,2.45454545454545
":fo:","Faroe Islands","B36 Torshavn",20,0.825
":am:","Armenia","Banants Yerevan",12,0.458333333333333
":gb-wls:","Wales","Bangor City",14,0.5
":cz:","Czech Republic","Baník Ostrava",18,4.19444444444444
":gb-wls:","Wales","Barry Town",11,1.04545454545455
":by:","Belarus","BATE Borisov",23,5.15217391304348
":de:","Germany","Bayer Leverkusen",28,11.8392857142857
":de:","Germany","Bayern München",55,16.3363636363636
":il:","Israel","Beitar Jerusalem",13,2.30769230769231
":pt:","Portugal","Benfica",62,10.4435483870968
":tr:","Turkey","Besiktas",44,4.97727272727273
,"East Germany","BFC Dynamo Berlin",15,4.53333333333333
":mt:","Malta","Birkirkara",21,0.880952380952381
":pt:","Portugal","Boavista",19,5.21052631578947
":ie:","Ireland","Bohemians Dublin",25,1.28
":it:","Italy","Bologna",10,7.4
":de:","Germany","Borussia Dortmund",34,12.3823529411765
":de:","Germany","Borussia Mönchengladbach",24,11
":dk:","Denmark","Brøndby IF",32,4.609375
":me:","Montenegro","Buducnost Podgorica",15,1.23333333333333
":lu:","Luxembourg","CA Spora Luxembourg",11,0.363636363636364
":gb-wls:","Wales","Cardiff City",14,3.42857142857143
,"East Germany","Carl Zeiss Jena",16,5.75
":gb-sct:","Scotland","Celtic",58,7.61206896551724
":pt:","Portugal","CF Os Belenenses",11,2.36363636363636
